City_ID,Latitudes,Longitudes,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Dates
0,7.7893,99.6348,75.2,100,40,1.92,TH,1619393405
1,-8.145,159.5921,85.73,69,23,0.2,SB,1619393405
2,-46.6,168.3333,46.99,88,82,10.0,NZ,1619393405
3,-38.2667,141.9667,58.37,71,100,5.21,AU,1619393158
4,-33.65,115.3333,51.01,98,100,4.29,AU,1619393406
5,-33.5906,26.891,70.63,56,100,11.83,ZA,1619393406
6,20.8624,92.3058,77.25,86,4,2.35,BD,1619393406
7,10.9995,122.6711,82.51,70,46,3.83,PH,1619393406
8,-5.1989,-35.4608,78.8,83,20,6.91,BR,1619393168
9,-23.1203,-134.9692,78.24,74,98,7.78,PF,1619393262
10,-33.6971,-53.4616,63.48,71,95,12.59,UY,1619393141
11,-21.2,-175.2,80.6,83,75,6.91,TO,1619393407
12,-37.6167,-73.65,55.31,91,1,9.91,CL,1619393407
13,-21.2078,-159.775,82.4,78,75,12.66,CK,1619393170
14,42.6001,-73.9662,57.0,51,78,14.23,US,1619393397
15,54.4299,31.8996,30.38,82,13,7.58,RU,1619393353
16,-46.1927,168.8643,48.0,89,74,11.01,NZ,1619393408
17,9.56,44.065,66.61,86,100,13.58,SO,1619393408
